Date,EURUSD,GBPUSD,JPYUSD,AUDUSD,CADUSD,CHFUSD,NZDUSD,BRLUSD,MXNUSD,ZARUSD,TRYUSD,CNYUSD,INRUSD,IDRUSD,KRWUSD,RUBUSD,SARUSD,LKRUSD
(auto),,,,,,,,,,,,,,,,,,
1/7/2000,$1.03 ,$1.64 ,$0.01 ,$0.65 ,$0.69 ,$0.64 ,$0.52 ,$0.55 ,$0.11 ,$0.17 ,$1.85 ,$0.12 ,$0.02 ,$0.14 ,$0.09 ,$0.04 ,$0.27 ,$1.37 
1/14/2000,$1.01 ,$1.63 ,$0.01 ,$0.67 ,$0.69 ,$0.63 ,$0.52 ,$0.55 ,$0.11 ,$0.17 ,$1.82 ,$0.12 ,$0.02 ,$0.14 ,$0.09 ,$0.03 ,$0.27 ,$1.38 
1/21/2000,$1.01 ,$1.65 ,$0.01 ,$0.66 ,$0.69 ,$0.63 ,$0.51 ,$0.57 ,$0.11 ,$0.16 ,$1.82 ,$0.12 ,$0.02 ,$0.14 ,$0.09 ,$0.04 ,$0.27 ,$1.37 
1/28/2000,$0.97 ,$1.62 ,$0.01 ,$0.64 ,$0.69 ,$0.61 ,$0.49 ,$0.56 ,$0.10 ,$0.16 ,$1.79 ,$0.12 ,$0.02 ,$0.13 ,$0.09 ,$0.03 ,$0.27 ,$1.37 
2/4/2000,$0.98 ,$1.59 ,$0.01 ,$0.64 ,$0.69 ,$0.61 ,$0.50 ,$0.57 ,$0.11 ,$0.16 ,$1.78 ,$0.12 ,$0.02 ,$0.13 ,$0.09 ,$0.03 ,$0.27 ,$1.37 
2/11/2000,$0.99 ,$1.59 ,$0.01 ,$0.63 ,$0.69 ,$0.62 ,$0.49 ,$0.57 ,$0.11 ,$0.16 ,$1.77 ,$0.12 ,$0.02 ,$0.14 ,$0.09 ,$0.03 ,$0.27 ,$1.36 
2/18/2000,$0.98 ,$1.60 ,$0.01 ,$0.63 ,$0.69 ,$0.61 ,$0.49 ,$0.56 ,$0.11 ,$0.16 ,$1.76 ,$0.12 ,$0.02 ,$0.13 ,$0.09 ,$0.03 ,$0.27 ,$1.36 
2/25/2000,$0.97 ,$1.60 ,$0.01 ,$0.62 ,$0.69 ,$0.61 ,$0.49 ,$0.56 ,$0.11 ,$0.16 ,$1.75 ,$0.12 ,$0.02 ,$0.14 ,$0.09 ,$0.03 ,$0.27 ,$1.36 
3/3/2000,$0.96 ,$1.58 ,$0.01 ,$0.61 ,$0.69 ,$0.60 ,$0.49 ,$0.57 ,$0.11 ,$0.16 ,$1.73 ,$0.12 ,$0.02 ,$0.13 ,$0.09 ,$0.03 ,$0.27 ,$1.36 
3/10/2000,$0.96 ,$1.58 ,$0.01 ,$0.62 ,$0.69 ,$0.60 ,$0.49 ,$0.57 ,$0.11 ,$0.16 ,$1.73 ,$0.12 ,$0.02 ,$0.14 ,$0.09 ,$0.04 ,$0.27 ,$1.36 
3/17/2000,$0.97 ,$1.57 ,$0.01 ,$0.61 ,$0.68 ,$0.60 ,$0.48 ,$0.58 ,$0.11 ,$0.15 ,$1.73 ,$0.12 ,$0.02 ,$0.13 ,$0.09 ,$0.04 ,$0.27 ,$1.36 
3/24/2000,$0.98 ,$1.59 ,$0.01 ,$0.61 ,$0.68 ,$0.62 ,$0.49 ,$0.58 ,$0.11 ,$0.15 ,$1.71 ,$0.12 ,$0.02 ,$0.13 ,$0.09 ,$0.04 ,$0.27 ,$1.36 
3/31/2000,$0.96 ,$1.59 ,$0.01 ,$0.61 ,$0.69 ,$0.60 ,$0.50 ,$0.58 ,$0.11 ,$0.15 ,$1.70 ,$0.12 ,$0.02 ,$0.13 ,$0.09 ,$0.03 ,$0.27 ,$1.36 
4/7/2000,$0.96 ,$1.58 ,$0.01 ,$0.60 ,$0.69 ,$0.61 ,$0.50 ,$0.57 ,$0.11 ,$0.15 ,$1.69 ,$0.12 ,$0.02 ,$0.13 ,$0.09 ,$0.03 ,$0.27 ,$1.36 
4/14/2000,$0.96 ,$1.59 ,$0.01 ,$0.60 ,$0.68 ,$0.61 ,$0.50 ,$0.56 ,$0.11 ,$0.15 ,$1.68 ,$0.12 ,$0.02 ,$0.13 ,$0.09 ,$0.04 ,$0.27 ,$1.36 
4/21/2000,$0.94 ,$1.58 ,$0.01 ,$0.59 ,$0.68 ,$0.60 ,$0.49 ,$0.56 ,$0.11 ,$0.15 ,$1.66 ,$0.12 ,$0.02 ,$0.13 ,$0.09 ,$0.03 ,$0.27 ,$1.36 
4/28/2000,$0.91 ,$1.55 ,$0.01 ,$0.58 ,$0.68 ,$0.58 ,$0.49 ,$0.55 ,$0.11 ,$0.15 ,$1.64 ,$0.12 ,$0.02 ,$0.13 ,$0.09 ,$0.04 ,$0.27 ,$1.35 
5/5/2000,$0.90 ,$1.53 ,$0.01 ,$0.60 ,$0.67 ,$0.58 ,$0.49 ,$0.55 ,$0.11 ,$0.14 ,$1.62 ,$0.12 ,$0.02 ,$0.13 ,$0.09 ,$0.04 ,$0.27 ,$1.35 
5/12/2000,$0.92 ,$1.52 ,$0.01 ,$0.58 ,$0.67 ,$0.59 ,$0.48 ,$0.54 ,$0.10 ,$0.14 ,$1.62 ,$0.12 ,$0.02 ,$0.12 ,$0.09 ,$0.04 ,$0.27 ,$1.34 
5/19/2000,$0.90 ,$1.49 ,$0.01 ,$0.57 ,$0.67 ,$0.58 ,$0.46 ,$0.54 ,$0.10 ,$0.14 ,$1.60 ,$0.12 ,$0.02 ,$0.12 ,$0.09 ,$0.04 ,$0.27 ,$1.34 
5/26/2000,$0.93 ,$1.49 ,$0.01 ,$0.57 ,$0.67 ,$0.59 ,$0.46 ,$0.54 ,$0.10 ,$0.14 ,$1.62 ,$0.12 ,$0.02 ,$0.12 ,$0.09 ,$0.04 ,$0.27 ,$1.34 
6/2/2000,$0.95 ,$1.51 ,$0.01 ,$0.58 ,$0.68 ,$0.60 ,$0.47 ,$0.56 ,$0.10 ,$0.14 ,$1.62 ,$0.12 ,$0.02 ,$0.12 ,$0.09 ,$0.04 ,$0.27 ,$1.33 
6/9/2000,$0.95 ,$1.51 ,$0.01 ,$0.59 ,$0.68 ,$0.61 ,$0.47 ,$0.55 ,$0.10 ,$0.14 ,$1.63 ,$0.12 ,$0.02 ,$0.12 ,$0.09 ,$0.04 ,$0.27 ,$1.33 
6/16/2000,$0.97 ,$1.52 ,$0.01 ,$0.61 ,$0.68 ,$0.62 ,$0.48 ,$0.55 ,$0.10 ,$0.15 ,$1.63 ,$0.12 ,$0.02 ,$0.12 ,$0.09 ,$0.04 ,$0.27 ,$1.33 
6/23/2000,$0.94 ,$1.50 ,$0.01 ,$0.59 ,$0.67 ,$0.60 ,$0.47 ,$0.55 ,$0.10 ,$0.15 ,$1.60 ,$0.12 ,$0.02 ,$0.12 ,$0.09 ,$0.04 ,$0.27 ,$1.27 
6/30/2000,$0.95 ,$1.51 ,$0.01 ,$0.60 ,$0.68 ,$0.61 ,$0.47 ,$0.56 ,$0.10 ,$0.15 ,$1.62 ,$0.12 ,$0.02 ,$0.11 ,$0.09 ,$0.04 ,$0.27 ,$1.26 
7/7/2000,$0.95 ,$1.51 ,$0.01 ,$0.59 ,$0.68 ,$0.61 ,$0.46 ,$0.56 ,$0.11 ,$0.15 ,$1.60 ,$0.12 ,$0.02 ,$0.11 ,$0.09 ,$0.04 ,$0.27 ,$1.27 
7/14/2000,$0.94 ,$1.50 ,$0.01 ,$0.58 ,$0.67 ,$0.61 ,$0.46 ,$0.55 ,$0.11 ,$0.15 ,$1.59 ,$0.12 ,$0.02 ,$0.11 ,$0.09 ,$0.04 ,$0.27 ,$1.27 
7/21/2000,$0.94 ,$1.52 ,$0.01 ,$0.59 ,$0.68 ,$0.60 ,$0.46 ,$0.56 ,$0.11 ,$0.14 ,$1.59 ,$0.12 ,$0.02 ,$0.11 ,$0.09 ,$0.04 ,$0.27 ,$1.28 
7/28/2000,$0.92 ,$1.50 ,$0.01 ,$0.59 ,$0.68 ,$0.60 ,$0.46 ,$0.56 ,$0.11 ,$0.14 ,$1.57 ,$0.12 ,$0.02 ,$0.11 ,$0.09 ,$0.04 ,$0.27 ,$1.28 
8/4/2000,$0.91 ,$1.51 ,$0.01 ,$0.59 ,$0.67 ,$0.59 ,$0.46 ,$0.56 ,$0.11 ,$0.14 ,$1.55 ,$0.12 ,$0.02 ,$0.12 ,$0.09 ,$0.04 ,$0.27 ,$1.27 
8/11/2000,$0.90 ,$1.50 ,$0.01 ,$0.58 ,$0.67 ,$0.58 ,$0.45 ,$0.56 ,$0.11 ,$0.15 ,$1.55 ,$0.12 ,$0.02 ,$0.12 ,$0.09 ,$0.04 ,$0.27 ,$1.28 
8/18/2000,$0.91 ,$1.49 ,$0.01 ,$0.59 ,$0.68 ,$0.58 ,$0.45 ,$0.55 ,$0.11 ,$0.14 ,$1.55 ,$0.12 ,$0.02 ,$0.12 ,$0.09 ,$0.04 ,$0.27 ,$1.28 
8/25/2000,$0.90 ,$1.47 ,$0.01 ,$0.57 ,$0.67 ,$0.58 ,$0.44 ,$0.55 ,$0.11 ,$0.14 ,$1.54 ,$0.12 ,$0.02 ,$0.12 ,$0.09 ,$0.04 ,$0.27 ,$1.28 
9/1/2000,$0.90 ,$1.46 ,$0.01 ,$0.58 ,$0.68 ,$0.58 ,$0.43 ,$0.55 ,$0.11 ,$0.14 ,$1.53 ,$0.12 ,$0.02 ,$0.12 ,$0.09 ,$0.04 ,$0.27 ,$1.28 
9/8/2000,$0.87 ,$1.42 ,$0.01 ,$0.56 ,$0.68 ,$0.56 ,$0.42 ,$0.55 ,$0.11 ,$0.14 ,$1.51 ,$0.12 ,$0.02 ,$0.12 ,$0.09 ,$0.04 ,$0.27 ,$1.28 
9/15/2000,$0.85 ,$1.40 ,$0.01 ,$0.54 ,$0.67 ,$0.56 ,$0.42 ,$0.54 ,$0.11 ,$0.14 ,$1.49 ,$0.12 ,$0.02 ,$0.11 ,$0.09 ,$0.04 ,$0.27 ,$1.27 
9/22/2000,$0.88 ,$1.45 ,$0.01 ,$0.54 ,$0.67 ,$0.58 ,$0.41 ,$0.54 ,$0.11 ,$0.14 ,$1.51 ,$0.12 ,$0.02 ,$0.11 ,$0.09 ,$0.04 ,$0.27 ,$1.26 
9/29/2000,$0.88 ,$1.48 ,$0.01 ,$0.54 ,$0.67 ,$0.58 ,$0.41 ,$0.54 ,$0.11 ,$0.14 ,$1.50 ,$0.12 ,$0.02 ,$0.11 ,$0.09 ,$0.04 ,$0.27 ,$1.26 
10/6/2000,$0.87 ,$1.45 ,$0.01 ,$0.53 ,$0.67 ,$0.57 ,$0.40 ,$0.54 ,$0.11 ,$0.14 ,$1.49 ,$0.12 ,$0.02 ,$0.11 ,$0.09 ,$0.04 ,$0.27 ,$1.26 
10/13/2000,$0.86 ,$1.45 ,$0.01 ,$0.53 ,$0.66 ,$0.57 ,$0.40 ,$0.53 ,$0.10 ,$0.13 ,$1.48 ,$0.12 ,$0.02 ,$0.11 ,$0.09 ,$0.04 ,$0.27 ,$1.26 
10/20/2000,$0.84 ,$1.45 ,$0.01 ,$0.53 ,$0.66 ,$0.56 ,$0.40 ,$0.53 ,$0.10 ,$0.13 ,$1.47 ,$0.12 ,$0.02 ,$0.11 ,$0.09 ,$0.04 ,$0.27 ,$1.26 
10/27/2000,$0.84 ,$1.46 ,$0.01 ,$0.52 ,$0.65 ,$0.55 ,$0.40 ,$0.52 ,$0.10 ,$0.13 ,$1.46 ,$0.12 ,$0.02 ,$0.11 ,$0.09 ,$0.04 ,$0.27 ,$1.26 
