Date,EURUSD,GBPUSD,JPYUSD,AUDUSD,CADUSD,CHFUSD,NZDUSD,BRLUSD,MXNUSD,ZARUSD,TRYUSD,CNYUSD,INRUSD,IDRUSD,KRWUSD,RUBUSD,SARUSD,LKRUSD
1/7/2000,1.0295,1.6393,0.009493,0.6549,0.6869,0.6391,0.5175,0.5474,0.1055,0.16508,1.85357,0.12078,0.02296,0.13956,0.08791,0.03642,0.2666,1.374
1/14/2000,1.0122,1.6313,0.009446,0.6657,0.6897,0.6272,0.5213,0.5543,0.1054,0.16497,1.8205,0.12077,0.02297,0.14039,0.08946,0.03489,0.2666,1.381
1/21/2000,1.0098,1.6487,0.009555,0.6629,0.6937,0.6265,0.5115,0.5687,0.10563,0.16307,1.82055,0.12078,0.02295,0.13633,0.08869,0.03505,0.2666,1.371
1/28/2000,0.9747,1.6201,0.009335,0.635,0.6914,0.6057,0.492,0.5559,0.1043,0.15779,1.78971,0.1208,0.02291,0.13377,0.08897,0.03492,0.2666,1.366
2/4/2000,0.9832,1.5918,0.009329,0.638,0.6941,0.6117,0.4965,0.5656,0.10588,0.15981,1.78063,0.12079,0.02292,0.13222,0.08853,0.03473,0.2666,1.366
2/11/2000,0.9875,1.5936,0.00919,0.6305,0.6895,0.6153,0.491,0.5655,0.10613,0.15787,1.77226,0.12079,0.0229,0.13633,0.08917,0.03463,0.2666,1.363
2/18/2000,0.9839,1.6013,0.009011,0.6293,0.6893,0.6143,0.4913,0.5628,0.10647,0.15817,1.7646,0.12081,0.02291,0.13449,0.08853,0.03467,0.2666,1.363
2/25/2000,0.9749,1.5953,0.009061,0.6151,0.6909,0.6064,0.4877,0.5637,0.10667,0.15917,1.75391,0.12079,0.02293,0.13605,0.08798,0.03483,0.2666,1.36
3/3/2000,0.9586,1.5778,0.009268,0.6084,0.6895,0.5964,0.4884,0.5731,0.10742,0.15495,1.73325,0.12078,0.02293,0.13395,0.08893,0.03494,0.2666,1.357
3/10/2000,0.9637,1.5765,0.009403,0.6151,0.6862,0.5988,0.4938,0.5731,0.10718,0.15637,1.72563,0.12079,0.02293,0.13596,0.08901,0.03508,0.2667,1.358
3/17/2000,0.9721,1.5748,0.00937,0.6067,0.6806,0.6033,0.4846,0.575,0.10742,0.15455,1.72838,0.1208,0.02296,0.13449,0.0895,0.03516,0.2667,1.357
3/24/2000,0.9779,1.5941,0.009357,0.6086,0.684,0.6161,0.4893,0.5772,0.10846,0.15433,1.7138,0.12078,0.02295,0.13417,0.08945,0.03527,0.2666,1.356
3/31/2000,0.9555,1.5911,0.009728,0.6071,0.6902,0.6005,0.4965,0.576,0.10813,0.15326,1.69535,0.12079,0.02293,0.13192,0.08957,0.03489,0.2666,1.355
4/7/2000,0.9553,1.5795,0.009491,0.5986,0.6858,0.6084,0.5002,0.5744,0.10753,0.1524,1.68776,0.12078,0.02291,0.13046,0.09032,0.03491,0.2666,1.356
4/14/2000,0.9622,1.5868,0.009546,0.5976,0.6769,0.6121,0.4983,0.5596,0.10506,0.15156,1.68265,0.12078,0.02289,0.13149,0.09,0.0351,0.2666,1.356
4/21/2000,0.9385,1.5795,0.009453,0.5944,0.6788,0.5967,0.4939,0.5624,0.1063,0.14828,1.66251,0.12079,0.02288,0.12507,0.09021,0.03494,0.2666,1.355
4/28/2000,0.9119,1.5513,0.009243,0.5839,0.6757,0.5827,0.4853,0.5531,0.10644,0.14723,1.63506,0.12077,0.02289,0.12618,0.09011,0.03517,0.2666,1.349
5/5/2000,0.897,1.5303,0.009208,0.5965,0.6709,0.5771,0.4922,0.5549,0.10545,0.14363,1.61632,0.12077,0.02291,0.12547,0.08999,0.03521,0.2666,1.345
5/12/2000,0.9197,1.5202,0.009217,0.5811,0.673,0.5912,0.4798,0.5444,0.10427,0.14245,1.62285,0.1208,0.02273,0.11827,0.08972,0.03536,0.2666,1.341
5/19/2000,0.8975,1.487,0.009346,0.5742,0.6679,0.5779,0.4569,0.5438,0.10428,0.13934,1.60256,0.12081,0.02272,0.11961,0.08907,0.03528,0.2666,1.338
5/26/2000,0.9309,1.49,0.009333,0.5736,0.6653,0.594,0.459,0.5444,0.10485,0.14045,1.61681,0.12081,0.02252,0.11743,0.08802,0.03535,0.2666,1.339
6/2/2000,0.9463,1.5098,0.009259,0.5798,0.6771,0.601,0.4651,0.5553,0.10471,0.14425,1.62338,0.12081,0.0224,0.12026,0.08888,0.03521,0.2666,1.334
6/9/2000,0.9536,1.5096,0.009352,0.5881,0.6785,0.6091,0.4687,0.5549,0.10106,0.14277,1.63345,0.12081,0.02234,0.11594,0.08968,0.03522,0.2666,1.331
6/16/2000,0.965,1.5153,0.009398,0.6063,0.6822,0.6182,0.4773,0.5546,0.10121,0.14641,1.63399,0.12081,0.02236,0.11627,0.08958,0.03535,0.2666,1.334
