Currency,EURUSD,GBPUSD,JPYUSD,AUDUSD,CADUSD,CHFUSD,NZDUSD,BRLUSD,MXNUSD,ZARUSD,TRYUSD,CNYUSD,INRUSD,IDRUSD,KRWUSD,RUBUSD,SARUSD,LKRUSD
EURUSD,1.000000,0.602881,,0.512660,0.429212,0.721467,0.515096,0.208177,0.103906,0.201290,0.181050,0.052958,0.042444,0.083432,0.151711,0.008825,,0.016131
GBPUSD,0.602881,1.000000,,0.507745,0.432140,0.475522,0.488790,0.221502,0.106892,0.174603,0.128985,0.054926,0.023080,0.055690,0.154040,0.029097,,0.011776
JPYUSD,,,,,,,,,,,,,,,,,,
AUDUSD,0.512660,0.507745,,1.000000,0.621841,0.384572,0.732975,0.401652,0.213154,0.273405,0.252568,0.043295,0.052151,0.150242,0.208547,0.035427,,-0.001718
CADUSD,0.429212,0.432140,,0.621841,1.000000,0.331911,0.543010,0.327822,0.217156,0.244549,0.181890,0.014992,0.038648,0.116784,0.164644,0.040514,,0.026974
CHFUSD,0.721467,0.475522,,0.384572,0.331911,1.000000,0.424948,0.133711,0.069134,0.139350,0.093869,0.039065,-0.001123,0.065117,0.120730,0.013389,,0.035252
NZDUSD,0.515096,0.488790,,0.732975,0.543010,0.424948,1.000000,0.336141,0.177932,0.219363,0.217709,0.040946,0.034529,0.132130,0.195024,0.033851,,-0.005664
BRLUSD,0.208177,0.221502,,0.401652,0.327822,0.133711,0.336141,1.000000,0.155306,0.156894,0.181241,0.033996,0.007952,0.102517,0.083054,0.020011,,0.034492
MXNUSD,0.103906,0.106892,,0.213154,0.217156,0.069134,0.177932,0.155306,1.000000,0.112989,0.065071,-0.012613,0.027822,0.117659,0.031685,0.013358,,0.006112
ZARUSD,0.201290,0.174603,,0.273405,0.244549,0.139350,0.219363,0.156894,0.112989,1.000000,0.146168,0.060422,0.051984,0.070670,0.064124,0.051738,,0.019573
TRYUSD,0.181050,0.128985,,0.252568,0.181890,0.093869,0.217709,0.181241,0.065071,0.146168,1.000000,-0.013064,0.009702,0.046154,0.090919,0.027344,,-0.015074
CNYUSD,0.052958,0.054926,,0.043295,0.014992,0.039065,0.040946,0.033996,-0.012613,0.060422,-0.013064,1.000000,0.032611,0.074873,0.105123,0.064703,,0.000390
INRUSD,0.042444,0.023080,,0.052151,0.038648,-0.001123,0.034529,0.007952,0.027822,0.051984,0.009702,0.032611,1.000000,0.025427,0.072925,-0.000067,,-0.015718
IDRUSD,0.083432,0.055690,,0.150242,0.116784,0.065117,0.132130,0.102517,0.117659,0.070670,0.046154,0.074873,0.025427,1.000000,0.050257,0.017724,,-0.026801
KRWUSD,0.151711,0.154040,,0.208547,0.164644,0.120730,0.195024,0.083054,0.031685,0.064124,0.090919,0.105123,0.072925,0.050257,1.000000,0.036019,,0.003867
RUBUSD,0.008825,0.029097,,0.035427,0.040514,0.013389,0.033851,0.020011,0.013358,0.051738,0.027344,0.064703,-0.000067,0.017724,0.036019,1.000000,,-0.038935
SARUSD,,,,,,,,,,,,,,,,,,
LKRUSD,0.016131,0.011776,,-0.001718,0.026974,0.035252,-0.005664,0.034492,0.006112,0.019573,-0.015074,0.000390,-0.015718,-0.026801,0.003867,-0.038935,,1.000000
