Currency,Average Weekly % Change,Std Dev Weekly % Change
EURUSD,-0.019826,1.799102
GBPUSD,-0.214561,2.135786
JPYUSD,0.000000,0.000000
AUDUSD,-0.000000,3.249927
CADUSD,-0.068361,2.225501
CHFUSD,0.082764,1.758924
NZDUSD,-0.078005,2.811671
BRLUSD,0.017019,3.233132
MXNUSD,-0.113253,6.066734
ZARUSD,-0.137597,4.637589
TRYUSD,-0.254512,2.851330
CNYUSD,0.066339,0.676531
INRUSD,-0.389870,6.908733
IDRUSD,0.000000,3.327280
KRWUSD,-0.192953,4.341451
RUBUSD,-0.276617,2.820955
SARUSD,0.000000,0.000000
LKRUSD,-0.053731,0.630101
