Currency,Average Weekly % Change,Std Dev Weekly % Change
EURUSD,0.010004,1.322418
GBPUSD,-0.013776,1.311040
JPYUSD,0.000000,0.000000
AUDUSD,0.004394,1.793943
CADUSD,0.004147,1.233911
CHFUSD,0.051004,1.500759
NZDUSD,0.009293,1.829944
BRLUSD,-0.078211,2.528488
MXNUSD,-0.044602,3.930677
ZARUSD,-0.076634,4.575729
TRYUSD,-0.333128,3.415696
CNYUSD,0.011427,1.196480
INRUSD,-0.051004,8.488865
IDRUSD,-0.062439,3.145249
KRWUSD,-0.018493,3.371574
RUBUSD,-0.102008,9.146420
SARUSD,0.000000,0.000000
LKRUSD,-0.107008,1.166105
