Currency,Average Weekly % Change,Std Dev Weekly % Change
EURUSD,0.018737,1.321223
GBPUSD,-0.005202,1.307942
JPYUSD,0.000000,0.000000
AUDUSD,0.020381,1.779452
CADUSD,0.011738,1.230197
CHFUSD,0.062319,1.510929
NZDUSD,0.025980,1.822967
BRLUSD,-0.046311,2.521882
MXNUSD,0.032659,3.952945
ZARUSD,0.027955,4.587287
TRYUSD,-0.276145,3.293578
CNYUSD,0.018594,1.200859
INRUSD,0.318862,9.481555
IDRUSD,-0.013067,3.146963
KRWUSD,0.038326,3.381666
RUBUSD,0.324994,10.059686
SARUSD,0.000000,0.000000
LKRUSD,-0.100343,1.121800
